Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Nami,Chapter 8; Episode 1[1]Chapter 1 (cover),"Straw Hat Pirates;Straw Hat Grand Fleet;Arlong Pirates[2] (defected);Ganzack Pirates (movie, former);Golden Lion Pirates (movie, former);[3]Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Navigator; Pirate; Senior Officer;[4] Thief;[5] Pirate Officer (Arlong Pirates, former);[2] Kunoichi (temporary)[6]","Cat Burglar (泥棒猫, Dorobō Neko?)[11]",Alive,18 (debut)[12]20 (after timeskip)[13][14],"366,000,000[4]66,000,000[18]16,000,000[11]","Cocoyasi Village (former);Weatheria (former, temporary)",,366000000.0,20,Straw Hat Pirates
Makino,Chapter 1; Episode 4[1],Partys Bar,Bar Owner[2]; Bartender,,Alive,19 (debut);29 (Chapter 1 to 597)31 (after timeskip)[2],,Foosha Village,,,31,Partys Bar
Woop Slap,Chapter 1; Episode 4[1],Foosha Village[1],Mayor,,Alive,,,Foosha Village[1],,,,Foosha Village 
Gyoru,Chapter 1[2]; Episode 45[3],,Fishmonger,,Alive,,,Foosha Village,,,,
Chicken,Chapter 1[2]; Episode 505[3],,Fishmonger,,Alive,,,Foosha Village,,,,
Anjo,Chapter 1; We Are![1],,,,Alive,,,,,,,
Lord of the Coast,Chapter 1; Episode 4,,Foosha Village's local Sea King,,Alive,,,,,,,
Higuma,Chapter 1; Episode 4[1],Higuma Bandits[2],Bandit Leader[1],,Deceased,,"8,000,000[5]",,,8000000.0,,Higuma Bandits 
Mikio Itoo,Chapter 1[2],,,,Alive,,"¥1,000,000",,,1000000.0,,
Alvida,Chapter 2; Episode 1[1],"Cross Guild;[2] Buggy's Delivery,[3] Buggy and Alvida Alliance; Buggy Pirates (Acting Captain, temporarily); Alvida Pirates (formerly)",Pirate Captain;[1],"""Iron Mace"" (金棒, Kanabō?, English versions: ""Iron Club"")[1]",Alive,25 (debut)27 (after timeskip)[4],"5,000,000[4]",Karai Bari Island[3]; Goat Island (former),Sube Sube no Mi,5000000.0,27,Cross Guild
Heppoko,Chapter 2; Episode 1[2],Alvida Pirates[2],Pirate[2],,Alive,,,Goat Island[2],,,,Alvida Pirates 
Peppoko,Chapter 2; Episode 1[2],Alvida Pirates[2],Pirate[2],,Alive,,,Goat Island,,,,Alvida Pirates 
Poppoko,Chapter 2; Episode 1[2],Alvida Pirates[2],Pirate[2],,Alive,,,Goat Island,,,,Alvida Pirates 
Koby,Chapter 2; Episode 1[1],"Marines (SWORD), Marine 153rd Branch (former);[2] Alvida Pirates (defected)[1]","Marine Captain;[3][4] Master Chief Petty Officer (promoted),[5] Chore Boy (promoted);[6] Pirate Ship Caretaker (former)[1]","""Hero"" (英雄, Eiyū?)[9]",Alive,16 (debut)18 (after timeskip)[7],"★★★★★(500,000,000)[10]",Shells Town (former); Goat Island (former),,500000000.0,18,"Marines  , Marine 153rd Branch  "
Roronoa Zoro,Chapter 3; Episode 1[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Shimotsuki Family (descended);[3]Ninja-Pirate-Mink-Samurai Alliance (disbanded),Swordsman; Pirate;[2] Crew Combatant; Senior Officer;[4] Rōnin (temporary);[5] Bounty Hunter (former)[6],"""Pirate Hunter Zoro"" (海賊狩りのゾロ, Kaizoku Gari no Zoro?)[9]",Alive,19 (debut)[10]21 (after timeskip)[11][12],"1,111,000,000[4][16]320,000,000[17]120,000,000[18]60,000,000[19]","Shimotsuki Village (former);Kuraigana Island (former, temporary)",,1111000000.0,21,Straw Hat Pirates
Morgan,Chapter 4; Episode 2[1],"Marines (153rd Branch)[1] (former, defected)",Captain[2] (former); Lieutenant Commander (former); Chief Petty Officer[3] (former),"Axe-Hand Morgan (斧手のモーガン, Onote no Mōgan?)[1]",Alive,42 (debut)44 (after timeskip)[4],,Shells Town (former),,,44,Marines     
Helmeppo,Chapter 3; Episode 2[1],Marines (Headquarters; SWORD) (formerly 153rd Branch),"Lieutenant Commander,[2];Chief Petty Officer[3] (promoted);Chore Boy (promoted)",,Alive,20 (debut)22 (after timeskip)[4],,Shells Town (former),,,22,Marines    
Rika,Chapter 3; Episode 2[1],Marine 153rd Branch,Waitress,,Alive,,,Shells Town,,,,Marine 153rd Branch
Soro,Chapter 3; Episode 2[2],Helmeppo,Pet,,Deceased,,,Shells Town,,,,Helmeppo
Rokkaku,Chapter 4; Episode 2[1],Marines (153rd Branch)[1],Marine Lieutenant Junior Grade,,Alive,,,Shells Town,,,,Marines   
Ukkari,Chapter 4; Episode 2[1],Marines (Marine 153rd Branch)[1],Marine Seaman Recruit,,Alive,,,Shells Town[1],,,,Marines   
Ririka,Chapter 4; Episode 2[1],,Bartender[2],,Alive,,,Shells Town[1],,,,
Shimotsuki Kuina,Chapter 5; Episode 2[1],Shimotsuki Family[2],Trainee Swordsman[1],,Deceased,,,Shimotsuki Village,,,,Shimotsuki Family 
Shimotsuki Koushirou,Chapter 5; Episode 19,Shimotsuki Family[1],Dojo Master[2],,Alive,40 (debut)49 (present day debut)51 (after timeskip)[3],,,,,51,Shimotsuki Family 
Buggy,Chapter 9; Episode 4[1],Cross Guild;[2]Buggy's Delivery; ?[3]Buggy Pirates;[4]Buggy and Alvida Alliance;[5]Four Emperors;[6]Seven Warlords of the Sea;[7] (former);Roger Pirates;[8] (former);Impel Down[9] (former),Pirate Captain;[4] Emperor;[6] Figurehead President of Cross Guild;[2] Chairman of Buggy's Delivery;[3] (former); Warlord of the Sea;[7] (former); Apprentice;[8] (former); Prisoner of the Great Prison[9] (former),"""Buggy the Clown"" (道化のバギー, Dōke no Bagī?)[4]""Buggy the Star Clown"" (千両道化のバギー, Senryō Dōke no Bagī?, English versions: Buggy the Genius Jester)[7]",Alive,37 (debut);39 (after timeskip)[10],"3,189,000,000[13]15,000,000[14]",Karai Bari Island;[3]Orange Town (former)[1],Bara Bara no Mi,3189000000.0,39,Cross Guild
Ripper,Chapter 7; Episode 3[1],"Marines, Marine 153rd Branch[1]",Marine Commander; Base Commander[1],,Alive,,,Shells Town[1],,,,"Marines, Marine 153rd Branch "
Buggy Pirates,Chapter 8; Episode 4[1],,,,Active,,"At least 3,320,000,000[5]At least 144,000,000[6]20,000,000[7]15,000,000[8]",,,,,
Pinky,Chapter 8; Episode 4[1],,,"""Monstrous Bird"" (怪鳥, Kaichō?)",Alive,,,,,,,
Mohji,Chapter 9; Episode 6[1],Cross Guild;[2] Buggy and Alvida Alliance; Buggy Pirates[3],Pirate; First Mate[3],"Beast Tamer (猛獣使いのモージ, Mōjū-tsukai no Mōji?);[3]Beast Breaker (4Kids)",Alive,27 (debut)29 (after timeskip)[5],,Karai Bari Island,,,29,Cross Guild
Richie,Chapter 9; Episode 6[1],Cross Guild;[2] Buggy Pirates[1],Pet;[1] Captain (former)[3],,Alive,,,Karai Bari Island,,,,Cross Guild
Cabaji,Chapter 9; Episode 7[1],"Cross Guild;[2] Buggy and Alvida Alliance, Buggy Pirates[3]",Pirate; Chief of Staff; Acrobat; Swordsman[3],"""Cabaji the Acrobat"" (曲芸のカバジ, Kyokugi no Kabaji?)[3]",Alive,32 (debut)34 (after timeskip)[5],,Karai Bari Island,,,34,Cross Guild
Domo-kun and Nnke-kun,God's Gift for the Future; Chapter 9,,,,Alive,,,,,,,
Boodle,Chapter 12; Episode 6[1],Orange Town,Mayor,,Alive,73 (debut)75 (after timeskip)[3],,Orange Town,,,75,Orange Town
Chouchou,Chapter 12; Episode 6[2],Hocker,Pet; Pet Shop Keeper,,Alive,12 (debut);[4]14 (after timeskip)[3],,Orange Town,,,14,Hocker
Hocker,Chapter 12; Episode 6[1],Chouchou[1],Pet Shop Owner[1],,Deceased,,,Orange Town[1],,,,Chouchou 
Poro,Chapter 14;[2] Episode 8[3],Orange Town[2],Bookstore Owner[4],,Alive,,,Orange Town[2],,,,Orange Town 
Silvers Rayleigh,Chapter 19; Episode 8[1],Roger Pirates (former)[2][3],Coating Mechanic (current); First Mate (former);[2][3] Pirate (former)[1][3],"""Right Hand of the Pirate King"" (海賊王の右腕, Kaizoku-Ō no Migiude?);[2]""Dark King"" (冥王, Meiō?)[4]",Alive,76 (debut)78 (after timeskip)[5],Unknown[8],Sabaody Archipelago,,,78,Roger Pirates    
Scopper Gaban,Chapter 19;[1] Episode 0[2],Roger Pirates (former)[1],Pirate[1],,Unknown,,,,,,,Roger Pirates   
Gaimon,Chapter 22; Episode 18[1],,Guardian of the Island of Rare Animals[2]Pirate (former)[3],,Alive,43 (debut)45 (after timeskip)[4],,Island of Rare Animals,,,45,
Cocox,Chapter 22; Episode 18[2],Animals of the Island of Rare Animals,,,Alive,,,Island of Rare Animals,,,,Animals of the Island of Rare Animals
Usagihebi,Chapter 22; Episode 18[1],Animals of the Island of Rare Animals,,,Alive,,,,,,,Animals of the Island of Rare Animals
Lionbuta,Chapter 22; Episode 18[1],Animals of the Island of Rare Animals,,,Alive,,,,,,,Animals of the Island of Rare Animals
Kirinkodanuki,Chapter 22; Episode 18[1],Animals of the Island of Rare Animals,,,Alive,,,,,,,Animals of the Island of Rare Animals
Kaya,Chapter 23; Episode 9[1],,Medical student,,Alive,17 (debut)19 (after timeskip)[2],,Syrup Village[1],,,19,
Kuro,Chapter 23; Episode 9[1],Black Cat Pirates,Pirate; Captain (former); Butler (former),"""Kuro of a Hundred Plans"" (百計のクロ, Hyakkei no Kuro?, English: ""Kuro of a Thousand Plans"")",Alive,33 (debut)35 (after timeskip)[2],"16,000,000[5][6]",Syrup Village (former),,16000000.0,35,Black Cat Pirates
Mornin,Chapter 23;[1] Episode of East Blue,,Mayor[2],,Alive,,,Syrup Village,,,,
Usopp,Chapter 23; Episode 8[1],Straw Hat Pirates;Straw Hat Grand Fleet;Usopp Pirates (disbanded);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Sniper; Pirate; Senior Officer;[2] Captain (former); Toad Oil Salesman (temporary)[3],"""King of Snipers"" (狙撃の王様, Sogeki no Ō-sama?, ""Sniper King"" (VIZ));[8]""God"" (ゴッド, Goddo?);[9]""Hana Arashi"" (鼻嵐, Hana Arashi?) (temporary, former)",Alive,17 (debut)[10]19 (after timeskip)[11][12],"500,000,000[2]200,000,000[9]30,000,000[8]","Syrup Village (former);Boin Archipelago (former, temporary)",,500000000.0,19,Straw Hat Pirates
Piiman,Chapter 23; Episode 9[1],Usopp Pirates (disbanded)[1],Pretend Pirate (former)[1],,Alive,9 (debut)11 (after timeskip)[2],,Syrup Village,,,11,Usopp Pirates   
Ninjin,Chapter 23; Episode 9[1],Usopp Pirates (disbanded)[1],Pretend Pirate (formerly)[1],,Alive,9 (debut)11 (after timeskip)[3],,Syrup Village,,,11,Usopp Pirates   
Tamanegi,Chapter 23; Episode 9[1],Usopp Pirates (disbanded)[1],Pretend Pirate (formerly),,Alive,9 (debut) 11 (after timeskip)[2],,Syrup Village,,,11,Usopp Pirates   
Merry,Chapter 24; Episode 11[1],Kaya,Butler,,Alive,,,Syrup Village,,,,Kaya
Jango,Chapter 25; Episode 9[1],Marines; Black Cat Pirates (former)[2],"Marine Lieutenant Commander;[3] Marine Seaman Recruit (promoted); Pirate (former); Captain (former),[2] First Mate (former),[4] Dancer (former)","""One-Two"" Jango (as a pirate) (1・2のジャンゴ, Ichi Ni no Jango?);[2]""Jango the Turncoat"" (Marine) (寝返りのジャンゴ, Negaeri no Jango?)[5]",Alive,27 (debut)29 (after timeskip)[6],"9,000,000[8]",,,9000000.0,29,Marines
Buchi,Chapter 31; Episode 13[1],Black Cat Pirates,"Pirate Officer[2], Ship Guard","""Nyaban Brothers"" (ニャーバン兄弟,  Nyāban Burazāzu?) (English versions: ""Meowban Brothers"")",Alive,21 (debut)23 (after timeskip)[2],"7,000,000 (with Sham)[2]",,,7000000.0,23,Black Cat Pirates
Sham,Chapter 31; Episode 13[1],Black Cat Pirates[1],Pirate Officer;[2] Ship Guard[1],"""Nyaban Brothers"" (ニャーバン兄弟 (ブラザーズ),  Nyāban Burazāzu?) (English versions: ""Meowban Brothers"")",Alive,21 (debut)23 (after timeskip)[2],"7,000,000 (with Buchi)[2]",,,7000000.0,23,Black Cat Pirates 
Nugire Yainu,Chapter 37[2]; Episode 10[3],Black Cat Pirates[4],Shipwright;[4] Pirate[4],,Deceased,,,,,,,Black Cat Pirates 
Building Snake,Chapter 41 (cover); Episode 4[1],Red Hair Pirates[1],Pirate; Senior Officer;[1] Navigator[2],,Alive,,,,,,,Red Hair Pirates 
Banchina,Chapter 41; Episode 17[2],,,,Deceased,,,,,,,
Yosaku,Chapter 42; Episode 20[1],Johnny; Roronoa Zoro's band (former),Bounty Hunter (former); Fisherman,,Alive,24 (debut)26 (after timeskip)[2],,,,,26,Johnny
Johnny,Chapter 42; Episode 19[1],Yosaku; Roronoa Zoro's band (former);,Bounty Hunter (former); Fisherman,,Alive,23 (debut)25 (after timeskip)[3],,,,,25,Yosaku
Arlong,Chapter 69; Episode 31[1],Arlong Pirates;[1] Sun Pirates (former);[2] Impel Down (former),Pirate;[3] Captain;[1] Prisoner of the Great Prison (former),"""Arlong the Saw"" (ノコギリのアーロン, Nokogiri no Āron?) (English versions: ""Saw-Tooth Arlong"")[1]",Alive,39 (debut)41 (after timeskip)[4],"20,000,000[7]",Fish-Man District (former) Arlong Park (former),,20000000.0,41,Arlong Pirates
Fullbody,Chapter 43; Episode 20[1],Marines[1],"Marine Lieutenant Commander;[2] Marine Seaman Recruit (promoted)[3], Marine Lieutenant[1] (demoted)[4]","""Double Ironfist Fullbody"" (両鉄拳のフルボディ, Ryōtekken no Furubodi?)""Ironfist Fullbody"" (鉄拳のフルボディ, Tekken no Furubodi?) (former)[1]",Alive,26 (debut)28 (after timeskip)[5],,,,,28,Marines 
Zeff,Chapter 43; Episode 20[1],Baratie; Cook Pirates (former)[1][2],"Head Chef of Baratie, Pirate Captain (former)[1][2]","""Red-Leg Zeff"" (赫足のゼフ, Akaashi no Zefu?, ""Red Foot Zeff"" (English))[4]",Alive,65 (debut)67 (after timeskip)[3],Unknown[3],Baratie[1],,,67,Baratie
Sanji,Chapter 43; Episode 20[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Vinsmoke Family (former);[3]Baratie (resigned);[1]Germa Kingdom (defected);[4]Ninja-Pirate-Mink-Samurai Alliance (disbanded),Cook;[1] Pirate;[2] Senior Officer;[5] Sous Chef (former);[1] Prince (former);[3] Cart Vendor (temporary)[6],"""Black Leg"" (黒足, Kuro Ashi?)[12]",Alive,19 (debut)[13]21 (after timeskip)[14][15],"1,032,000,000[5]330,000,000[19]177,000,000 (Only Alive)[20]77,000,000[12]","Baratie (former);[1]Germa Kingdom (former);[3]Momoiro Island (former, temporary)",,1032000000.0,21,Straw Hat Pirates
Moodie,Chapter 43; Episode 20[2],,,,Alive,,,,,,,
Motzel,Chapter 43; Episode 20[1],,,,Alive,,,,,,,
Batchee,Chapter 43; Episode 20[2],,,,Unknown,,,,,,,
Krieg,Chapter 45; Episode 21[1],Krieg Pirates[2],Pirate Captain/Admiral[1],"""Don Krieg"" (首領・クリーク, Don Kurīku?);""Pirate Fleet Admiral"" (海賊艦隊提督, Kaizoku Kantai Teitoku?)[3][4];""Ruler of the East Blue"" (東の海の覇者, Īsuto Burū no Hasha?)[5];""Foul Play Krieg"" (ダマし討ちのクリーク, Damashi-uchi no Kurīku?)[5]",Alive,42 (debut)44 (after timeskip)[6],"17,000,000[9]",,,17000000.0,44,Krieg Pirates 
Gin,Chapter 44; Episode 21,Krieg Pirates,Pirate; Combat Commander,"Gin the ""Man-Demon"" (鬼人のギン, Kijin no Gin?, 4Kids: ""Diablo""; Funimation: ""Cold-Hearted Demon"")[1]",Unknown,25 (debut)27 (after timeskip)[2],"12,000,000[2]",,,12000000.0,27,Krieg Pirates
Patty,Chapter 44; Episode 21[1],Baratie,Patissier,,Alive,27 (debut)29 (after timeskip)[2],,,,,29,Baratie
Carne,Chapter 45; Episode 21[1],Baratie,Charcutier,,Alive,32 (debut)34 (after timeskip)[2],,,,,34,Baratie
Roxanne,Chapter 46[1],,,,Alive,,,,,,,
Dracule Mihawk,Chapter 49; Episode 23[1],Cross Guild;[2]Seven Warlords of the Sea[3] (former)[4],Pirate; Cross Guild Chief Officer;[2] Warlord of the Sea[3] (former)[4],"""Hawk Eyes Mihawk"" (鷹の目のミホーク, Taka no Me no Mihōku?, ""Hawk-Eye"" in the English versions)[7]""Strongest Swordsman in the World"" (世界最強の剣士, Sekai Saikyō no Kenshi?)[8]""Marine Hunter"" (海兵狩り, Kaihei-gari?, VIZ: ""Naval Hunter"")[9]",Alive,41 (debut)[10]43 (after timeskip)[11],"3,590,000,000[13]",Kuraigana Island[5] (former);Karai Bari Island[6],,3590000000.0,43,Cross Guild
Bell-mère,Chapter 77;[1] Episode 32[2],Marines (former),Mikan Farmer; Marine Officer (former),,Deceased,,,Cocoyasi Village,,,,Marines  
Pearl,Chapter 54; Episode 25[1],Krieg Pirates[2],Commander of the Krieg Pirates' second unit[2],"""Pearl the Iron Wall"" (鉄壁のパール, Teppeki no Pāru?, ""Pearl the Invincible Shield"")[2]",Alive,23 (debut)25 (after timeskip)[3],,,,,25,Krieg Pirates 
Ideaman,Chapter 55; Episode 25[1],Krieg Pirates[1],Pirate;[1] Staff Officer of Planning[2],,Alive,,,,,,,Krieg Pirates 
Hustle,Chapter 60[1],Krieg Pirates[1],Pirate; Combat Instructor[2],,Alive,,,,,,,Krieg Pirates 
Kumate Tribe,Chapter 62; Episode 47[1],,,,,,,,,,,
Kagikko,Chapter 64[2],Krieg Pirates[2][3],Pirate[2][3]; Locksmith[3],,Alive,,,,,,,Krieg Pirates  
Hatchan,Chapter 69; Episode 31[1],Takoyaki 8;[2] Arlong Pirates[1] (former); Sun Pirates (former)[3],Takoyaki seller;[2] Pirate (former); Pirate Officer[1] (former),"Six-Sword Style Hachi (六刀流のハチ, Rokutōryū no Hachi?)[4]",Alive,36 (debut)38 (after timeskip)[5],"8,000,000[5]",Fish-Man District (former); Arlong Park (former),,8000000.0,38,Takoyaki 8
Chew,Chapter 69; Episode 31[1],Arlong Pirates;[2] Sun Pirates (former)[3],Pirate Officer[2]; Sniper,,Alive,33 (debut)35 (after timeskip)[5],"5,500,000[5]",Fish-Man District (former); Arlong Park (former),,5500000.0,35,Arlong Pirates
Kuroobi,Chapter 69; Episode 31[1],Arlong Pirates;[2] Sun Pirates (former)[3],Pirate; Pirate Officer[2],,Alive,36 (debut)38 (after timeskip)[5],"9,000,000[5]",Fish-Man District (former); Arlong Park (former),,9000000.0,38,Arlong Pirates
Nezumi,Chapter 69; Episode 31[1],Marines; Marine 16th Branch[1],Marine Captain,,Alive,34 (debut)36 (after timeskip)[2],,,,,36,Marines
Chabo,Chapter 69; Episode 31[1],Nojiko's tangerine farm[2],Laborer[2],,Alive,,,Gosa Village (former);  Cocoyasi Village,,,,Nojiko's tangerine farm 
Nojiko,Chapter 70; Episode 31[1],,Orange Farmer[1],,Alive,20 (debut)[3]22 (after timeskip)[2],,Cocoyasi Village[1]; Oykot Kingdom (former)[2],,,22,
Genzo,Chapter 71; Episode 32[1],Cocoyasi Village,Sheriff of Cocoyasi Village,,Alive,46 (debut)48 (after timeskip)[2],,Cocoyasi Village,,,48,Cocoyasi Village
Kaneshiro,Chapter 72; Episode 31[1],Arlong Pirates;[1] Sun Pirates (former)[2],Pirate;[1] Shipwright[3],,Alive,,,,,,,Arlong Pirates
Pisaro,Chapter 72; Episode 32[1],Arlong Pirates;[1] Sun Pirates (former)[2][3],Pirate;[1] Musician[4],,Alive,,,,,,,Arlong Pirates
Momoo,Chapter 73; Episode 31[1],Arlong Pirates (former);[2] Caribou Pirates (former); Fake Straw Hat Crew (former),Arlong Pirates' pet (former);[2] Caribou Pirates' steed (former),"""Momoo the Sea Cow"" (海牛モーム, Kaigyū Mōmu?)[5]",Alive,14 (debut)16 (after timeskip)[5],,,,,16,Arlong Pirates  
Take,Chapter 75;[1] Episode 33[2],Arlong Pirates[1],Pirate;[1] Commander of Parties[3],,Alive,,,,,,,Arlong Pirates 
Shioyaki,Chapter 75; Episode 33[2],Arlong Pirates[2],Pirate [2]; Head of Banquets[3],,Alive,,,,,,,Arlong Pirates 
Pudding Pudding,"Chapter 75, Episode 34[1]","Marines, Marine 77th Branch[1]",Marine Commodore[1],,Deceased,,,,,,,"Marines, Marine 77th Branch "
Nako,Chapter 77; Episode 32[1],,Doctor[1],,Alive,,,Cocoyasi Village[1],,,,
Mummy Mee,Chapter 79; Episode 35[2],World Government Orphanage[3],Housemother[3],,Alive,,,Cocoyasi Village,,,,World Government Orphanage 
Daddy Dee,Chapter 79; Episode 35[1],World Government Orphanage[2],Housefather[2],,Alive,,,Cocoyasi Village,,,,World Government Orphanage 
Monkey D. Garp,Chapter 92 (cover); Episode 68,Marines[1] (semi-retired)[2],Vice Admiral;[3][2] Instructor[4],"""Garp the Fist"" (ゲンコツのガープ, Genkotsu no Gāpu?);[6]Hero of the Marines (海軍の英雄, Kaigun no Eiyū?) (VIZ: ""Naval Hero"");[7]""Demon/Devil"" (悪魔, Akuma?)[8][6]",Unknown,76 (debut) 78 (after timeskip)[9],"(3,000,000,000)[11]",Foosha Village (former),,3000000000.0,78,Marines    
Bogard,Chapter 92; Episode 68[1],,Commissioned Marine Officer[1],,Alive,,,,,,,
Sam,Chapter 94; Episode 43[1],Easter Egg,,,Alive,,,Cocoyasi Village[2],,,,Easter Egg
Koze and Packy,Chapter 96; Episode 48[1],Yes Pirates,Pirates,,Alive,,,,,,,Yes Pirates
John Giant,Chapter 96; Episode 45[1],Marines[1],Vice Admiral[2],,Alive,,,Elbaf (former),,,,Marines 
Stainless,Chapter 96;[1] Episode 151[2],Marines[1],Vice Admiral,,Unknown,,,,,,,Marines 
Cancer,Chapter 96[1]; Episode 151[2],Marines,Vice Admiral,,Alive,,,,,,,Marines
Brannew,Chapter 96; Episode 45[1],Marines[1],Commodore;[2] Lieutenant Commander[1] (former),,Alive,54 (debut)56 (after timeskip)[4],,,,,56,Marines 
Tashigi,Chapter 96; Episode 48[1],Marines; G-5 Unit 01[2]; Loguetown Marine Base (former)[3],Captain;[2] Ensign[4] (former); Master Chief Petty Officer[3] (former),,Alive,21 (debut)[6]23 (after timeskip)[7],,Loguetown (former),,,23,Marines
Smoker,Chapter 97; Episode 48[1],Marines; G-5;[2] Loguetown Marine Base (former)[3],Vice Admiral;[2] Commodore (former);[4] Captain (former)[1],"""Smoker the White Hunter"" (白猟のスモーカー, Hakuryō no Sumōkā?);[3]""White Chase Smoker"" (VIZ);""Smoke Hunter"" (4Kids)",Alive,34 (debut)[6]36 (after timeskip)[7],,Loguetown (former),Moku Moku no Mi,,36,Marines
Hanger,Chapter 97; Episode 48[1],Robecca Hanberg,Salesperson,,Alive,,,Loguetown,,,,Robecca Hanberg
Ipponmatsu,Chapter 97; Episode 49[1],Loguetown Arms Shop,Arms Shop Proprietor,,Alive,38 (debut)40 (after timeskip)[2],,Loguetown,,,40,Loguetown Arms Shop
Mashikaku,Chapter 98; Episode 48[1],Marines[1],Marine Chief Petty Officer,,Alive,,,,,,,Marines 
Sapi,Chapter 98; Episode 51[2],,Fishmonger,,Alive,,,Loguetown,,,,
Yu,Chapter 98; Episode 48[1],,,,Alive,,,Loguetown[1],,,,
Monkey D. Dragon,Chapter 100; Episode 52[1],Revolutionary Army;[2] Freedom Fighters (former)[3],Supreme Commander of the Revolutionary Army;[4][5]Former Captain of the Freedom Fighters,"""Rebellious Dragon"" (反逆竜, Hangyaku Ryū?)[6]""World's Worst Criminal"" (世界最悪の犯罪者, Sekai Saiaku no Hanzaisha?, Funimation: World's Most Heinous Criminal)[4][7]",Alive,53 (debut)55 (after timeskip)[5],Unknown[5],Baltigo (former)Dawn Island (former)Momoiro Island,,,55,Revolutionary Army
Sea King,"Chapter 1, Episode 4 (Seen)[1];Chapter 92, Episode 42 (Named)[2]",,,,,,,,,,,
Crocus,Chapter 102; Episode 62[1],"Roger Pirates (former), Laboon[1]",Doctor; Lighthouse Keeper; Pirate (former),,Alive,71 (debut)[3]73 (after timeskip)[4],Unknown[2],Reverse Mountain (Twin Cape),,,73,"Roger Pirates  , Laboon "
Laboon,Chapter 102; Episode 62[1],Rumbar Pirates (former); Crocus[2],,,Alive,51 (debut)53 (after timeskip)[2],,Reverse Mountain (Twin Cape),,,53,Rumbar Pirates  
Yorki,Chapter 103; Episode 63[1],Rumbar Pirates[1],Pirate; Captain[1],"""Calico"" Yorki (キャラコのヨーキ, Kyarako no Yōki?)[2]",Unknown,,Unknown[4],,,,,Rumbar Pirates 
Mr. 9,Chapter 103; Episode 62[1],Baroque Works[1] (former),Frontier Agent (former); Bounty Hunter,,Alive,,,,,,,Baroque Works   
