Chapter,Character,Appearance,Appearance Notes,Arc
31.0,Buchi,Buchi,,Syrup Village
31.0,Sham,Sham,,Syrup Village
31.0,Kaya,Kaya,,Syrup Village
31.0,Merry,Merry,,Syrup Village
31.0,Usopp,Usopp,,Syrup Village
31.0,Piiman,Piiman,,Syrup Village
31.0,Ninjin,Ninjin,,Syrup Village
31.0,Tamanegi,Tamanegi,,Syrup Village
32.0,Monkey D. Luffy (K.O),Monkey D. Luffy ,K.O,Syrup Village
32.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
32.0,Nami,Nami,,Syrup Village
32.0,Kuro,Kuro,,Syrup Village
32.0,Jango,Jango,,Syrup Village
32.0,Buchi,Buchi,,Syrup Village
32.0,Sham,Sham,,Syrup Village
32.0,Usopp,Usopp,,Syrup Village
33.0,Monkey D. Luffy (K.O),Monkey D. Luffy ,K.O,Syrup Village
33.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
33.0,Nami,Nami,,Syrup Village
33.0,Kuro,Kuro,,Syrup Village
33.0,Jango,Jango,,Syrup Village
33.0,Buchi,Buchi,,Syrup Village
33.0,Sham,Sham,,Syrup Village
33.0,Usopp,Usopp,,Syrup Village
34.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
34.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
34.0,Nami,Nami,,Syrup Village
34.0,Kuro,Kuro,,Syrup Village
34.0,Jango,Jango,,Syrup Village
34.0,Buchi,Buchi,,Syrup Village
34.0,Kaya,Kaya,,Syrup Village
34.0,Usopp,Usopp,,Syrup Village
35.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
35.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
35.0,Kuro,Kuro,,Syrup Village
35.0,Jango,Jango,,Syrup Village
35.0,Buchi,Buchi,,Syrup Village
35.0,Buggy (cover),Buggy ,cover,Syrup Village
35.0,Kaya,Kaya,,Syrup Village
35.0,Usopp,Usopp,,Syrup Village
35.0,Piiman,Piiman,,Syrup Village
35.0,Ninjin,Ninjin,,Syrup Village
35.0,Tamanegi,Tamanegi,,Syrup Village
36.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
36.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
36.0,Kuro,Kuro,,Syrup Village
36.0,Jango,Jango,,Syrup Village
36.0,Buchi,Buchi,,Syrup Village
36.0,Mohji (cover),Mohji ,cover,Syrup Village
36.0,"Richie (cover, K.O)",Richie ,"cover, K.O",Syrup Village
36.0,Cabaji (cover),Cabaji ,cover,Syrup Village
36.0,Kaya,Kaya,,Syrup Village
36.0,Usopp,Usopp,,Syrup Village
36.0,Piiman,Piiman,,Syrup Village
36.0,Ninjin,Ninjin,,Syrup Village
36.0,Tamanegi,Tamanegi,,Syrup Village
36.0,Boodle (cover),Boodle ,cover,Syrup Village
36.0,Chouchou (cover),Chouchou ,cover,Syrup Village
37.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
37.0,Buggy (cover),Buggy ,cover,Syrup Village
37.0,Kuro,Kuro,,Syrup Village
37.0,Jango (flashback),Jango ,flashback,Syrup Village
37.0,Buchi (flashback),Buchi ,flashback,Syrup Village
37.0,Sham (flashback),Sham ,flashback,Syrup Village
37.0,Nugire Yainu (flashback),Nugire Yainu ,flashback,Syrup Village
37.0,Morgan (flashback),Morgan ,flashback,Syrup Village
37.0,Big Bird's Son (cover),Big Bird's Son ,cover,Syrup Village
38.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
38.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
38.0,Nami,Nami,,Syrup Village
38.0,Kuro,Kuro,,Syrup Village
38.0,Jango,Jango,,Syrup Village
38.0,Kaya,Kaya,,Syrup Village
38.0,Usopp,Usopp,,Syrup Village
38.0,Piiman,Piiman,,Syrup Village
38.0,Ninjin,Ninjin,,Syrup Village
38.0,Tamanegi,Tamanegi,,Syrup Village
39.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
39.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
39.0,Nami,Nami,,Syrup Village
39.0,Buggy (cover),Buggy ,cover,Syrup Village
39.0,Kuro,Kuro,,Syrup Village
39.0,Jango,Jango,,Syrup Village
39.0,Kaya,Kaya,,Syrup Village
39.0,Usopp,Usopp,,Syrup Village
39.0,Piiman,Piiman,,Syrup Village
39.0,Ninjin,Ninjin,,Syrup Village
39.0,Tamanegi,Tamanegi,,Syrup Village
39.0,Big Bird (cover),Big Bird ,cover,Syrup Village
39.0,Big Bird's Children (cover),Big Bird's Children ,cover,Syrup Village
40.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
40.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
40.0,Nami,Nami,,Syrup Village
40.0,Buggy (cover),Buggy ,cover,Syrup Village
40.0,Kuro (K.O),Kuro ,K.O,Syrup Village
40.0,Jango (K.O),Jango ,K.O,Syrup Village
40.0,Usopp,Usopp,,Syrup Village
40.0,Kaya,Kaya,,Syrup Village
40.0,Merry,Merry,,Syrup Village
40.0,Piiman,Piiman,,Syrup Village
40.0,Ninjin,Ninjin,,Syrup Village
40.0,Tamanegi,Tamanegi,,Syrup Village
40.0,Mornin,Mornin,,Syrup Village
40.0,Big Bird (cover),Big Bird ,cover,Syrup Village
41.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
41.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
41.0,Nami,Nami,,Syrup Village
41.0,Usopp,Usopp,,Syrup Village
41.0,Shanks (cover),Shanks ,cover,Syrup Village
41.0,Benn Beckman (cover),Benn Beckman ,cover,Syrup Village
41.0,Yasopp (cover),Yasopp ,cover,Syrup Village
41.0,Lucky Roux (cover),Lucky Roux ,cover,Syrup Village
41.0,Kaya,Kaya,,Syrup Village
41.0,Merry,Merry,,Syrup Village
41.0,Piiman,Piiman,,Syrup Village
41.0,Ninjin,Ninjin,,Syrup Village
41.0,Tamanegi,Tamanegi,,Syrup Village
41.0,Banchina (flashback),Banchina ,flashback,Syrup Village
42.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
42.0,Roronoa Zoro,Roronoa Zoro,,Baratie
42.0,Nami,Nami,,Baratie
42.0,Usopp,Usopp,,Baratie
42.0,Buggy (cover),Buggy ,cover,Baratie
42.0,Yosaku,Yosaku,,Baratie
42.0,Johnny,Johnny,,Baratie
42.0,Big Bird (cover),Big Bird ,cover,Baratie
42.0,Big Bird's Children (cover),Big Bird's Children ,cover,Baratie
43.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
43.0,Roronoa Zoro,Roronoa Zoro,,Baratie
43.0,Nami,Nami,,Baratie
43.0,Usopp,Usopp,,Baratie
43.0,Buggy (cover),Buggy ,cover,Baratie
43.0,Arlong (on wanted poster),Arlong ,on wanted poster,Baratie
43.0,Fullbody,Fullbody,,Baratie
43.0,Zeff,Zeff,,Baratie
43.0,Sanji,Sanji,,Baratie
43.0,Moodie,Moodie,,Baratie
43.0,Motzel,Motzel,,Baratie
43.0,Gaimon (cover),Gaimon ,cover,Baratie
43.0,Yosaku,Yosaku,,Baratie
43.0,Johnny,Johnny,,Baratie
43.0,Batchee,Batchee,,Baratie
43.0,Cocox (cover),Cocox ,cover,Baratie
43.0,Usagihebi (cover),Usagihebi ,cover,Baratie
43.0,Lionbuta (cover),Lionbuta ,cover,Baratie
44.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
44.0,Roronoa Zoro (cover),Roronoa Zoro ,cover,Baratie
44.0,Nami (cover),Nami ,cover,Baratie
44.0,Usopp (cover),Usopp ,cover,Baratie
44.0,Krieg (mentioned only),Krieg ,mentioned only,Baratie
44.0,Gin,Gin,,Baratie
44.0,Fullbody,Fullbody,,Baratie
44.0,Zeff,Zeff,,Baratie
44.0,Sanji,Sanji,,Baratie
44.0,Patty,Patty,,Baratie
45.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
45.0,Roronoa Zoro,Roronoa Zoro,,Baratie
45.0,Nami,Nami,,Baratie
45.0,Usopp,Usopp,,Baratie
45.0,Krieg (shadowed),Krieg ,shadowed,Baratie
45.0,Gin,Gin,,Baratie
45.0,Zeff,Zeff,,Baratie
45.0,Sanji,Sanji,,Baratie
45.0,Patty,Patty,,Baratie
45.0,Carne,Carne,,Baratie
46.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
46.0,Roronoa Zoro,Roronoa Zoro,,Baratie
46.0,Nami,Nami,,Baratie
46.0,Usopp,Usopp,,Baratie
46.0,Krieg,Krieg,,Baratie
46.0,Gin,Gin,,Baratie
46.0,Buggy (cover),Buggy ,cover,Baratie
46.0,Zeff,Zeff,,Baratie
46.0,Sanji,Sanji,,Baratie
46.0,Patty,Patty,,Baratie
46.0,Carne,Carne,,Baratie
46.0,Roxanne,Roxanne,,Baratie
46.0,Gaimon (cover),Gaimon ,cover,Baratie
46.0,Yosaku,Yosaku,,Baratie
46.0,Johnny,Johnny,,Baratie
46.0,Cocox (cover),Cocox ,cover,Baratie
46.0,Usagihebi (cover),Usagihebi ,cover,Baratie
46.0,Lionbuta (cover),Lionbuta ,cover,Baratie
47.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
47.0,Krieg,Krieg,,Baratie
47.0,Gin,Gin,,Baratie
47.0,Buggy (cover),Buggy ,cover,Baratie
47.0,Zeff,Zeff,,Baratie
47.0,Sanji,Sanji,,Baratie
47.0,Patty,Patty,,Baratie
47.0,Carne,Carne,,Baratie
47.0,Gaimon (cover),Gaimon ,cover,Baratie
47.0,Cocox (cover),Cocox ,cover,Baratie
47.0,Usagihebi (cover),Usagihebi ,cover,Baratie
47.0,Lionbuta (cover),Lionbuta ,cover,Baratie
47.0,Kirinkodanuki (cover),Kirinkodanuki ,cover,Baratie
48.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
48.0,Roronoa Zoro,Roronoa Zoro,,Baratie
48.0,Usopp,Usopp,,Baratie
48.0,Krieg,Krieg,,Baratie
48.0,Gin,Gin,,Baratie
48.0,Buggy (cover),Buggy ,cover,Baratie
48.0,Zeff,Zeff,,Baratie
48.0,Sanji,Sanji,,Baratie
48.0,Patty,Patty,,Baratie
48.0,Carne,Carne,,Baratie
48.0,Gaimon (cover),Gaimon ,cover,Baratie
48.0,Dracule Mihawk (mentioned only),Dracule Mihawk ,mentioned only,Baratie
48.0,Cocox (cover),Cocox ,cover,Baratie
48.0,Usagihebi (cover),Usagihebi ,cover,Baratie
48.0,Lionbuta (cover),Lionbuta ,cover,Baratie
49.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
49.0,Roronoa Zoro,Roronoa Zoro,,Baratie
49.0,Nami (flashback),Nami ,flashback,Baratie
49.0,Usopp,Usopp,,Baratie
49.0,Krieg,Krieg,,Baratie
49.0,Gin,Gin,,Baratie
49.0,Zeff,Zeff,,Baratie
49.0,Sanji,Sanji,,Baratie
49.0,Patty,Patty,,Baratie
49.0,Dracule Mihawk (shadowed),Dracule Mihawk ,shadowed,Baratie
49.0,Yosaku,Yosaku,,Baratie
49.0,Johnny,Johnny,,Baratie
50.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
50.0,Roronoa Zoro,Roronoa Zoro,,Baratie
50.0,Nami,Nami,,Baratie
50.0,Usopp,Usopp,,Baratie
50.0,Krieg,Krieg,,Baratie
50.0,Buggy (cover),Buggy ,cover,Baratie
50.0,Zeff,Zeff,,Baratie
50.0,Sanji,Sanji,,Baratie
50.0,Patty,Patty,,Baratie
50.0,Carne,Carne,,Baratie
50.0,Bell-mère (mentioned only),Bell-mère ,mentioned only,Baratie
50.0,Dracule Mihawk,Dracule Mihawk,,Baratie
50.0,Yosaku,Yosaku,,Baratie
50.0,Johnny,Johnny,,Baratie
51.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
51.0,Roronoa Zoro,Roronoa Zoro,,Baratie
51.0,Usopp,Usopp,,Baratie
51.0,Buggy (cover),Buggy ,cover,Baratie
51.0,Alvida (cover),Alvida ,cover,Baratie
51.0,Krieg,Krieg,,Baratie
51.0,Zeff,Zeff,,Baratie
51.0,Sanji,Sanji,,Baratie
51.0,Patty,Patty,,Baratie
51.0,Kuina (flashback),Kuina ,flashback,Baratie
51.0,Dracule Mihawk,Dracule Mihawk,,Baratie
51.0,Yosaku,Yosaku,,Baratie
51.0,Johnny,Johnny,,Baratie
52.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
52.0,Roronoa Zoro,Roronoa Zoro,,Baratie
52.0,Nami (cover),Nami ,cover,Baratie
52.0,Usopp,Usopp,,Baratie
52.0,Krieg,Krieg,,Baratie
52.0,Zeff,Zeff,,Baratie
52.0,Sanji,Sanji,,Baratie
52.0,Patty,Patty,,Baratie
52.0,Dracule Mihawk,Dracule Mihawk,,Baratie
52.0,Yosaku,Yosaku,,Baratie
52.0,Johnny,Johnny,,Baratie
53.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
53.0,Buggy (cover),Buggy ,cover,Baratie
53.0,Alvida (cover),Alvida ,cover,Baratie
53.0,Krieg,Krieg,,Baratie
53.0,Zeff,Zeff,,Baratie
53.0,Sanji,Sanji,,Baratie
53.0,Patty,Patty,,Baratie
53.0,Carne,Carne,,Baratie
54.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
54.0,Buggy (cover),Buggy ,cover,Baratie
54.0,Alvida (cover),Alvida ,cover,Baratie
54.0,Krieg,Krieg,,Baratie
54.0,Pearl,Pearl,,Baratie
54.0,Zeff,Zeff,,Baratie
54.0,Sanji,Sanji,,Baratie
54.0,Patty,Patty,,Baratie
54.0,Carne,Carne,,Baratie
55.0,Monkey D. Luffy,Monkey D. Luffy,,Baratie
55.0,Buggy (cover),Buggy ,cover,Baratie
55.0,Mohji (cover),Mohji ,cover,Baratie
55.0,Richie (cover),Richie ,cover,Baratie
55.0,Cabaji (cover),Cabaji ,cover,Baratie
55.0,Krieg,Krieg,,Baratie
55.0,Gin,Gin,,Baratie
