Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Buchi,Chapter 31; Episode 13[1],Black Cat Pirates,"Pirate Officer[2], Ship Guard","""Nyaban Brothers"" (ニャーバン兄弟,  Nyāban Burazāzu?) (English versions: ""Meowban Brothers"")",Alive,21 (debut)23 (after timeskip)[2],"7,000,000 (with Sham)[2]",,,7000000.0,23,Black Cat Pirates
Sham,Chapter 31; Episode 13[1],Black Cat Pirates[1],Pirate Officer;[2] Ship Guard[1],"""Nyaban Brothers"" (ニャーバン兄弟 (ブラザーズ),  Nyāban Burazāzu?) (English versions: ""Meowban Brothers"")",Alive,21 (debut)23 (after timeskip)[2],"7,000,000 (with Buchi)[2]",,,7000000.0,23,Black Cat Pirates 
Arlong,Chapter 69; Episode 31[1],Arlong Pirates;[1] Sun Pirates (former);[2] Impel Down (former),Pirate;[3] Captain;[1] Prisoner of the Great Prison (former),"""Arlong the Saw"" (ノコギリのアーロン, Nokogiri no Āron?) (English versions: ""Saw-Tooth Arlong"")[1]",Alive,39 (debut)41 (after timeskip)[4],"20,000,000[7]",Fish-Man District (former) Arlong Park (former),,20000000.0,41,Arlong Pirates
Sanji,Chapter 43; Episode 20[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Vinsmoke Family (former);[3]Baratie (resigned);[1]Germa Kingdom (defected);[4]Ninja-Pirate-Mink-Samurai Alliance (disbanded),Cook;[1] Pirate;[2] Senior Officer;[5] Sous Chef (former);[1] Prince (former);[3] Cart Vendor (temporary)[6],"""Black Leg"" (黒足, Kuro Ashi?)[12]",Alive,19 (debut)[13]21 (after timeskip)[14][15],"1,032,000,000[5]330,000,000[19]177,000,000 (Only Alive)[20]77,000,000[12]","Baratie (former);[1]Germa Kingdom (former);[3]Momoiro Island (former, temporary)",,1032000000.0,21,Straw Hat Pirates
Krieg,Chapter 45; Episode 21[1],Krieg Pirates[2],Pirate Captain/Admiral[1],"""Don Krieg"" (首領・クリーク, Don Kurīku?);""Pirate Fleet Admiral"" (海賊艦隊提督, Kaizoku Kantai Teitoku?)[3][4];""Ruler of the East Blue"" (東の海の覇者, Īsuto Burū no Hasha?)[5];""Foul Play Krieg"" (ダマし討ちのクリーク, Damashi-uchi no Kurīku?)[5]",Alive,42 (debut)44 (after timeskip)[6],"17,000,000[9]",,,17000000.0,44,Krieg Pirates 
Gin,Chapter 44; Episode 21,Krieg Pirates,Pirate; Combat Commander,"Gin the ""Man-Demon"" (鬼人のギン, Kijin no Gin?, 4Kids: ""Diablo""; Funimation: ""Cold-Hearted Demon"")[1]",Unknown,25 (debut)27 (after timeskip)[2],"12,000,000[2]",,,12000000.0,27,Krieg Pirates
Dracule Mihawk,Chapter 49; Episode 23[1],Cross Guild;[2]Seven Warlords of the Sea[3] (former)[4],Pirate; Cross Guild Chief Officer;[2] Warlord of the Sea[3] (former)[4],"""Hawk Eyes Mihawk"" (鷹の目のミホーク, Taka no Me no Mihōku?, ""Hawk-Eye"" in the English versions)[7]""Strongest Swordsman in the World"" (世界最強の剣士, Sekai Saikyō no Kenshi?)[8]""Marine Hunter"" (海兵狩り, Kaihei-gari?, VIZ: ""Naval Hunter"")[9]",Alive,41 (debut)[10]43 (after timeskip)[11],"3,590,000,000[13]",Kuraigana Island[5] (former);Karai Bari Island[6],,3590000000.0,43,Cross Guild
Hatchan,Chapter 69; Episode 31[1],Takoyaki 8;[2] Arlong Pirates[1] (former); Sun Pirates (former)[3],Takoyaki seller;[2] Pirate (former); Pirate Officer[1] (former),"Six-Sword Style Hachi (六刀流のハチ, Rokutōryū no Hachi?)[4]",Alive,36 (debut)38 (after timeskip)[5],"8,000,000[5]",Fish-Man District (former); Arlong Park (former),,8000000.0,38,Takoyaki 8
Chew,Chapter 69; Episode 31[1],Arlong Pirates;[2] Sun Pirates (former)[3],Pirate Officer[2]; Sniper,,Alive,33 (debut)35 (after timeskip)[5],"5,500,000[5]",Fish-Man District (former); Arlong Park (former),,5500000.0,35,Arlong Pirates
Kuroobi,Chapter 69; Episode 31[1],Arlong Pirates;[2] Sun Pirates (former)[3],Pirate; Pirate Officer[2],,Alive,36 (debut)38 (after timeskip)[5],"9,000,000[5]",Fish-Man District (former); Arlong Park (former),,9000000.0,38,Arlong Pirates
Monkey D. Garp,Chapter 92 (cover); Episode 68,Marines[1] (semi-retired)[2],Vice Admiral;[3][2] Instructor[4],"""Garp the Fist"" (ゲンコツのガープ, Genkotsu no Gāpu?);[6]Hero of the Marines (海軍の英雄, Kaigun no Eiyū?) (VIZ: ""Naval Hero"");[7]""Demon/Devil"" (悪魔, Akuma?)[8][6]",Unknown,76 (debut) 78 (after timeskip)[9],"(3,000,000,000)[11]",Foosha Village (former),,3000000000.0,78,Marines    
Gem,Chapter 110; Episode 65[1],New Spiders Cafe; Baroque Works[2] (former),Cafe Employee; Officer Agent[2][3] (former); Sniper,"""Gem of the Border"" (国境のジェム, Kokkyō no Jemu?)[5]",Alive,24 (debut)26 (after timeskip)[5],"10,000,000[5]",,Bomu Bomu no Mi,10000000.0,26,New Spiders Cafe
Mikita,Chapter 110; Episode 65[1],New Spiders Cafe; Baroque Works (former)[2],Cafe Pâtissier; Officer Agent[2][3] (former),"""Courier"" (運び屋, Hakobi-ya?)[5]",Alive,22 (debut)24 (after timeskip)[5],"7,500,000[5]",,Kiro Kiro no Mi,7500000.0,24,New Spiders Cafe
Crocodile,Chapter 126; Episode 76[1],Cross Guild;[2]Seven Warlords of the Sea[3] (former);[4]Baroque Works[5] (former);[4]Impel Down (former),Pirate; Cross Guild Chief Officer;[2] Baroque Works President[5] (former); Proprietor of Rain Dinners (former); Prisoner of the Great Prison (former),"""Sir Crocodile"" (サー・クロコダイル, Sā Kurokodairu?)[7]""Desert King"" (砂漠の王, Sabaku no Ō?)[8]",Alive,44 (debut)[9]46 (after timeskip)[10],"1,965,000,000[12]81,000,000[7]","Rainbase, Arabasta (former)",Suna Suna no Mi,1965000000.0,46,Cross Guild
Nico Robin,Chapter 114; Episode 67[1],"Straw Hat Pirates;Straw Hat Grand Fleet;Baroque Works[1] (defected);Foxy Pirates (filler, temporary);Ohara Archaeologists (former);Revolutionary Army (former, temporarily);Slavery (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Archaeologist;[2] Pirate; Senior Officer;[3] Geisha (temporary);[4] Assassin (former);[2] Baroque Works Vice President[1] (former); Rain Dinners manager[5] (former); Revolutionary (former, temporarily); Slave (former)","""Devil Child"" (悪魔の子, Akuma no Ko?, English versions: ""Demon Child"");[7]""Light of the Revolution"" (革命の灯, Kakumei no Tomoshibi?)[8]",Alive,28 (debut)[2][9]30 (after timeskip)[10][11],"930,000,000[3]130,000,000[15]80,000,000[7]79,000,000[16]","Ohara (former);Arabasta (former);Baltigo (former, temporary)",Hana Hana no Mi,930000000.0,30,Straw Hat Pirates
Brogy,Chapter 115; Episode 71,Giant Warrior Pirates,Pirate Captain,"Brogy the Red Ogre (赤鬼のブロギー, Aka-Oni no Burogī?)",Alive,158 (debut)[1]160 (after timeskip)[2],"100,000,000",ElbafLittle Garden (former),,100000000.0,160,Giant Warrior Pirates
Dorry,Chapter 116; Episode 71[1],Giant Warrior Pirates[1],Pirate Captain[1],"Dorry the Blue Ogre (青鬼のドリー, Ao-Oni no Dorī?)",Alive,158 (debut)[3]160 (after timeskip)[4],"100,000,000",ElbafLittle Garden (former),,100000000.0,160,Giant Warrior Pirates 
Galdino,Chapter 117; Episode 70[1],Cross Guild;[3] Buggy's Delivery; Buggy and Alvida Alliance;[4] Baroque Works[5] (formerly),Pirate; Officer Agent[5] (former); Prisoner of the Great Prison (former),"""Loan Shark"" (闇金, Yamikin?)[6]",Alive,35 (debut)37 (after timeskip)[6],"24,000,000[6]",Karai Bari Island,Doru Doru no Mi,24000000.0,37,Cross Guild
Marianne,Chapter 117; Episode 70[2],New Spiders Cafe;[3] Baroque Works[4] (former),Cafe Employee;[3] Officer Agent[4] (former),"""Flag-Bearer of Freedom"" (自由の旗手マリアンヌ, Jiyū no Kishu Mariannu?)[5]",Alive,16 (debut)18 (after timeskip)[5],"29,000,000[5]",,,29000000.0,18,New Spiders Cafe
Bentham,Chapter 129; Episode 78[1],Newkama Land;[2] Baroque Works[3] (former),Queen of Newkama Land;[2] Officer Agent[3] (former); Prisoner of the Great Prison,"""Bentham of the Wild"" (荒野のベンサム, Kōya no Bensamu?)[4]",Alive,30 (debut)32 (after timeskip)[4],"32,000,000[6]",,Mane Mane no Mi,32000000.0,32,Newkama Land
Marshall D. Teach,Chapter 223; Episode 146[1],Blackbeard Pirates;[2]Four Emperors;[3]Seven Warlords of the Sea[4] (former);[5]Whitebeard Pirates 2nd Division[6] (defected)[7],Pirate;[2] Admiral;[8] Emperor;[3] Apprentice (former); Warlord of the Sea[4] (former)[5],"""Blackbeard"" (黒ひげ, Kurohige?)[2] (""Black Beard"" in the edited dub)",Alive,38 (debut)[11]40 (after timeskip)[12],"3,996,000,000[14]2,247,600,000[15]0[4]",Hachinosu[10],Yami Yami no Mi,3996000000.0,40,Blackbeard Pirates
Tony Tony Chopper,Chapter 134; Episode 81[1],"Straw Hat Pirates;Straw Hat Grand Fleet;Foxy Pirates (former, temporary);Ninja-Pirate-Mink-Samurai Alliance (disbanded)",Doctor; Pirate; Senior Officer[2],"""Cotton Candy Lover"" (わたあめ大好き, Wataame Daisuki?)[6]",Alive,15 (debut)[7]17 (after timeskip)[8][9],"1,000[2]100[12]50[6]","Sakura Kingdom (former);Torino Kingdom (former, temporary)",Hito Hito no Mi,1000.0,17,Straw Hat Pirates
Daz Bonez,Chapter 160; Episode 103[1],Cross Guild;[2] Baroque Works[1] (former),Pirate; Assassin; Officer Agent[1] (former); Bounty Hunter (former),"""The Killer"" (殺し屋, Koroshiya?)[4]",Alive,29 (debut)31 (after timeskip)[3],"75,000,000[3]",,Supa Supa no Mi,75000000.0,31,Cross Guild
Zala,Chapter 155;[1] Episode 103[2],New Spiders Cafe; Baroque Works[3]  (Former),Spiders Cafe Owner;[3] Assassin (Former);[4] Officer Agent[4] (Former),"""Poison Spider Zala"" (毒グモのザラ, Doku Gumo no Zara?)[4]",Alive,26 (debut)28 (after timeskip)[4],"35,000,000[4]",,Toge Toge no Mi[6],35000000.0,28,New Spiders Cafe
Babe,Chapter 160; Episode 103[1],New Spiders Cafe; Baroque Works[1] (former),Cafe Delivery Boy[2]; Officer Agent[1] (former),"""Catcher-Killing"" Babe (キャッチャー殺しのベーブ, Kyatchā-Goroshi no Bēbu?)[3]",Alive,28 (debut)30 (after timeskip)[3],"3,200,000[3]",,,3200000.0,30,New Spiders Cafe
Drophy,Chapter 160; Episode 103[1],New Spiders Cafe; Baroque Works[1] (former),Cafe Waitress; Officer Agent[1] (former),"""Town-Collapser"" Drophy (町落としのドロフィー, Machi Otoshi no Dorofī?)[2]",Alive,49 (debut)51 (after timeskip)[2],"14,000,000[2]",,Mogu Mogu no Mi,14000000.0,51,New Spiders Cafe
Masira,Chapter 219; Episode 144[1],Saruyama Alliance (Masira Pirates)[1],Pirate; Captain[1],"""Salvage King"" Masira (サルベージ王マシラ, Sarubēji-Ō Mashira?)",Alive,23 (debut)25 (after timeskip)[3],"23,000,000",Jaya,,23000000.0,25,Saruyama Alliance   
Bellamy,Chapter 222; Episode 146[1],Donquixote Pirates (former);[2] Bellamy Pirates[3] (former)[2],Dyer; Pirate Captain[3] (former)[2],"""Bellamy the Hyena"" (ハイエナのベラミー, Haiena no Beramī?);[3]""Deadly Bullet of Dressrosa"" (ドレスローザの凶弾, Doresurōza no kyōdan?);[2]""The Big-Time Rookie"" (大型ルーキー, Ōgata Rūkī?)[4]",Alive,25 (debut)27 (after timeskip)[6],"195,000,000[2]55,000,000[3]",Dressrosa (former)Notice (former),Bane Bane no Mi,195000000.0,27,Donquixote Pirates  
Sarquiss,Chapter 222; Episode 146[1],Bellamy Pirates[2],First Mate[2] (former),"""Big Knife Sarquiss"" (ビッグナイフ・サーキース, Biggunaifu Sākīsu?)[2]",Unknown,25 (debut)27 (after timeskip)[3],"38,000,000[2]",,,38000000.0,27,Bellamy Pirates 
Shoujou,Chapter 226; Episode 147[1],Saruyama Alliance (Shoujou Pirates)[1],Pirate; Captain[1],"""Sonar King"" Shoujou (海底探索王ショウジョウ, Kaitei Tansaku Ō Shōjō?)",Alive,25[2] (debut);27 (after timeskip),"36,000,000[4]",Jaya,,36000000.0,27,Saruyama Alliance   
Mont Blanc Cricket,Chapter 227; Episode 148[1],Saruyama Alliance; His original crew (former),Pirate; Captain,,Alive,41 (debut)43 (after timeskip)[3],"25,000,000[3]",Lvneel (former) Jaya (former),,25000000.0,43,Saruyama Alliance
Donquixote Doflamingo,Chapter 233; Episode 151[1],Donquixote Pirates;Impel Down;Underworld;[2]World Government (secret);[3]Seven Warlords of the Sea (former);[1]Dressrosa (former)[4],Pirate Captain; Prisoner of the Great Prison; Underworld Broker;[2] King of Dressrosa (former);[5] World Noble (former)[6],"""Heavenly Yaksha"" (天夜叉, Ten Yasha?, English versions: ""Heavenly Demon"")[9]",Alive,39 (debut)[10]41 (after timeskip)[11][12],"340,000,000[1]",Mary Geoise (former);Spider Miles (former);Dressrosa (former),Ito Ito no Mi,340000000.0,41,Donquixote Pirates
Marco,Chapter 234; Episode 151[1],Whitebeard Pirates (former);[2] Ninja-Pirate-Mink-Samurai Alliance(disbanded),1st Division Commander (former);[2] Doctor;[3] Apprentice (former)[4],"""Marco the Phoenix"" (不死鳥マルコ, Fushichō Maruko?)[5]",Alive,43 (debut)45 (after timeskip)[6],"1,374,000,000[6]",Sphinx,"Tori Tori no Mi, Model: Phoenix",1374000000.0,45,Whitebeard Pirates  
Foxy,Chapter 305; Episode 207[1],Foxy Pirates[1],Pirate; Captain[1],"""Silver Fox"" (銀ギツネ, Gin-gitsune?)",Alive,36 (debut)38 (after timeskip)[3],"24,000,000[1]",,Noro Noro no Mi,24000000.0,38,Foxy Pirates 
Borsalino,Chapter 504; Episode 398[1],Marines[2],Admiral;[2] Vice Admiral (former)[3],,Alive,56 (debut)58 (after timeskip)[5],"(3,000,000,000)[7]",,Pika Pika no Mi,3000000000.0,58,Marines 
Franky,Chapter 329; Episode 233[1],Straw Hat Pirates;Straw Hat Grand Fleet;Franky Family (former);Tom's Workers (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shipwright; Dismantler; Underworld boss (former);[2] Bounty Hunter (former); Pirate; Senior Officer[3],"""Iron Man"" Franky (""鉄人""フランキー, Tetsujin Furankī?)[7]""Cyborg"" Franky (""鉄人""フランキー, Saibōgu Furankī?)[8][9] (former)",Alive,34 (debut)[11][12]36 (after timeskip)[13][14],"394,000,000[3]94,000,000[7]44,000,000[8]","Water 7 (former);Karakuri Island (former, temporary)",,394000000.0,36,Straw Hat Pirates
Charlotte Linlin,Chapter 651; Episode 571[1],Big Mom Pirates;[1] Rocks Pirates (former);[2] Four Emperors (former);[3][4] Charlotte Family[5],Pirate Captain;[1] Emperor (former);[3][4] Queen of Totto Land[6],"""Big Mom"" (ビッグ・マム, Biggu Mamu?)[14] (Funimation subs (formerly): Big Mam)""Evil Spirit"" (悪神, Akujin?)[15][16]",Unknown,68[9],"4,388,000,000[11]500,000,000[12]50,000,000[12]",Whole Cake Island;[1]Elbaf (former)[7],Soru Soru no Mi,4388000000.0,68,Big Mom Pirates
Kaidou,Chapter 795;[1] Episode 736[2],Beasts Pirates;[3] Rocks Pirates (former);[4] Four Emperors (former)[5],Governor-General;[6] Emperor (former);[5] Soldier (former);[7] Apprentice (former)[4],"""Kaidou of the Beasts"" (百獣のカイドウ, Hyakujū no Kaidō?, English versions: ""Kaido, King of the Beasts"")[10]""The Strongest Creature"" (最強の生物, Saikyō no Seibutsu?)[11][8]""Wise King"" (明王, Myōō?, English versions: ""Deity"")[8][12]",Unknown,59[8],"4,611,100,000[14]70,000,000[7]",Wano Country (Onigashima);[9]Vodka Kingdom (former)[7],"Uo Uo no Mi, Model: Seiryu",4611100000.0,59,Beasts Pirates
Brook,Chapter 442; Episode 337[1],Straw Hat Pirates;Straw Hat Grand Fleet;Rumbar Pirates (former);[2]Ninja-Pirate-Mink-Samurai Alliance (disbanded),Pirate; Musician; Swordsman; Senior Officer;[3] Captain (former); Battle Convoy leader (former);[4] World-Famous Rock Star (former),"""Humming Brook"" (鼻歌のブルック, Hanauta no Burukku?);[4]""Soul King"" (ソウルキング, Souru Kingu?)[10]",Alive,38 (first death);[2]88 (debut);[11]90 (after timeskip)[12][13],"383,000,000[3]83,000,000[10]33,000,000[4]","Florian Triangle (former); Namakura Island (former, temporary)",Yomi Yomi no Mi,383000000.0,90,Straw Hat Pirates
Gecko Moria,Chapter 449; Episode 343[1],Thriller Bark Pirates (Mysterious Four);Seven Warlords of the Sea[2] (former);[3]Gecko Pirates (former),Pirate Captain;[4]Warlord of the Sea[2] (former)[3],,Alive,48 (debut)[6]50 (after timeskip)[7],"320,000,000[8][9]",Florian Triangle (former); Thriller Bark,Kage Kage no Mi,320000000.0,50,Thriller Bark Pirates  
Charlotte Lola,Chapter 476; Episode 370[1],Rolling Pirates; Charlotte Family;[2] Thriller Bark Victim's Association (former),Pirate; Captain; Minister of Chocolate (former)[3],"""Marriage Proposal Lola"" (求婚のローラ, Kyūkon no Rōra?)",Alive,24 (debut)26 (after timeskip)[6],"24,000,000[5]",Cacao Island (former)[3],,24000000.0,26,Rolling Pirates
Capone Bege,Chapter 498; Episode 392[1],Fire Tank Pirates;[1] Big Mom Pirates[2] (former),Pirate; Captain;[1] Mafia don (former); Combatant (former)[2],"""Gang"" (ギャング, Gyangu?)[1]",Alive,40 (debut)[4]42 (after timeskip)[5],"350,000,000[8]300,000,000[9]138,000,000[10]",,Shiro Shiro no Mi,350000000.0,42,Fire Tank Pirates
Scratchmen Apoo,Chapter 498; Episode 392[1],On Air Pirates[1]; Beasts Pirates[2],Pirate; Captain; Musician;[1] Informant[3],"""Roar of the Sea"" (海鳴り, Umi Nari?)[1]",Alive,29 (debut)[4]31 (after timeskip)[5],"350,000,000[5]198,000,000[1]",,Oto Oto no Mi,350000000.0,31,On Air Pirates 
Eustass Kid,Chapter 498; Episode 392[1],Kid Pirates[1] Ninja-Pirate-Mink-Samurai Alliance,Pirate Captain[1],"""Captain"" (キャプテン, Kyaputen?)[1]",Unknown,21 (debut)[2]23 (after timeskip)[3],"3,000,000,000[6]470,000,000[3]315,000,000[1]",,Jiki Jiki no Mi,3000000000.0,23,Kid Pirates  Ninja-Pirate-Mink-Samurai Alliance
Killer,Chapter 498; Episode 392[1],Kid Pirates;[2] Kurozumi Orochi (defected)[3],Pirate;[2] Combatant; Assassin (former)[3],"""Massacre Soldier"" (殺戮武人, Satsuriku Bujin?, Viz: ""Murder Machine"")[2]",Unknown,25 (debut)[5]27 (after timeskip)[6],"200,000,000[6]162,000,000[2]",,,200000000.0,27,Kid Pirates
Urouge,Chapter 498; Episode 392[1],Fallen Monk Pirates[1],Pirate; Captain[1],"""Mad Monk"" (怪僧, Kaisō?)[1]",Alive,45 (debut)[2]47 (after timeskip)[3],"108,000,000[1]",Ballon Terminal,,108000000.0,47,Fallen Monk Pirates 
Basil Hawkins,Chapter 498; Episode 392[1],Hawkins Pirates;[1] Beasts Pirates[2],Pirate; Captain;[1] Shinuchi,"Magician (魔術師, Majutsushi?)[1]",Unknown,29 (debut)[3]31 (after timeskip)[4],"320,000,000[4]249,000,000[7]",,Wara Wara no Mi,320000000.0,31,Hawkins Pirates
Trafalgar D. Water Law,Chapter 498; Episode 392[1],Heart Pirates;[1]Ninja-Pirate-Mink-Samurai Alliance (disbanded);Seven Warlords of the Sea[2] (revoked);[3][4]Donquixote Pirates (defected)[5],Pirate Captain;[1] Doctor;[6] Warlord of the Sea (former),"""Surgeon of Death"" (死の外科医, Shi no Gekai?)[1]",Alive,24 (debut)[8]26 (after timeskip)[2][9],"3,000,000,000[12]500,000,000[13]440,000,000[14]200,000,000[1]",Flevance (former);[7]Spider Miles (former);Swallow Island (former),Ope Ope no Mi[15],3000000000.0,26,Heart Pirates
Bepo,Chapter 498; Episode 392[1],Heart Pirates,Pirate; Navigator;[2] Guardians' helper[3],,Alive,20 (debut)22 (after timeskip)[5],500[8],Zou (former);Swallow Island (former),,500.0,22,Heart Pirates
Jewelry Bonney,Chapter 498; Episode 392[1],Bonney Pirates[1],Pirate Captain[1],"""Big Eater"" (大喰らい, Ō-Gurai?)[1]",Alive,"22 (estimated, debut)[3]24 (estimated, after timeskip)[4]","320,000,000[7]140,000,000[1]",,,320000000.0,24,Bonney Pirates 
X Drake,Chapter 498; Episode 392[1],"Marines;[1][2]Drake Pirates;[1]Beasts Pirates (Tobiroppo, former);[3][4][5]Barrels Pirates (defected);[6]Ninja-Pirate-Mink-Samurai Alliance (disbanded)[5]","Captain of SWORD;[2] Pirate (undercover); Captain (undercover);[1] Shinuchi (undercover, former);[7][5] Marine Rear Admiral (former)[8]","""Red Flag"" (赤旗, Akahata?)[1]",Unknown,31 (debut)[9]33 (after timeskip)[10],"222,000,000[1]",,"Ryu Ryu no Mi, Model: Allosaurus",222000000.0,33,Marines
Boa Hancock,Chapter 516;[1] Episode 409,Kuja;Kuja Pirates;Seven Warlords of the Sea (former);[1]Slavery (former)[2],Pirate Captain; Empress of Amazon Lily; Warlord of the Sea (former); Slave (former),"""Snake Princess"" (蛇姫, Hebihime?);[4]""Pirate Empress"" (海賊女帝, Kaizoku Jotei?)[4]",Alive,29 (debut)[5]31 (after timeskip)[6],"1,659,000,000[8]80,000,000[9]",Amazon Lily,Mero Mero no Mi,1659000000.0,31,Kuja
Boa Marigold,Chapter 516; Episode 409[1],Kuja; Kuja Pirates;[1] Slavery (former)[2],Pirate; Ruler of Amazon Lily; Slave (Former),,Alive,26 (debut)28 (after timeskip)[3],"40,000,000[3]",Amazon Lily,"Hebi Hebi no Mi, Model: King Cobra",40000000.0,28,Kuja
